100	0.000904	0.000823	5150	5
100	0.000008	0.000008	5150	5
100	0.000003	0.000003	100	5
110	0.001034	0.000942	6215	5
110	0.000012	0.000011	6215	5
110	0.000003	0.000003	110	5
120	0.001282	0.001168	7380	5
120	0.000011	0.000010	7380	5
120	0.000004	0.000003	120	5
130	0.001529	0.001392	8645	5
130	0.000016	0.000014	8645	5
130	0.000005	0.000004	130	5
140	0.001866	0.001700	10010	5
140	0.000015	0.000014	10010	5
140	0.000004	0.000004	140	5
150	0.002101	0.001913	11475	5
150	0.000017	0.000015	11475	5
150	0.000004	0.000004	150	5
160	0.002531	0.002305	13040	5
160	0.000019	0.000018	13040	5
160	0.000006	0.000005	160	5
170	0.002556	0.002328	14705	5
170	0.000021	0.000019	14705	5
170	0.000005	0.000005	170	5
180	0.003006	0.002737	16470	5
180	0.000025	0.000023	16470	5
180	0.000005	0.000005	180	5
190	0.003286	0.002993	18335	5
190	0.000027	0.000024	18335	5
190	0.000006	0.000005	190	5
200	0.003790	0.003452	20300	5
200	0.000029	0.000027	20300	5
200	0.000006	0.000006	200	5
